JD,Mag
2459710.360139,13.646
2459710.360625,13.628
2459710.361076,13.661
2459710.361516,13.637
2459710.361956,13.61
2459710.362396,13.601
2459710.362882,13.611
2459710.363333,13.621
2459710.363785,13.615
2459710.364236,13.589
2459710.364688,13.556
2459710.365174,13.56
2459710.365637,13.542
2459710.366088,13.521
2459710.366539,13.508
2459710.366979,13.517
2459710.367477,13.499
2459710.36794,13.494
2459710.368391,13.494
2459710.368854,13.496
2459710.369306,13.515
2459710.369792,13.537
2459710.370255,13.523
2459710.370706,13.555
2459710.371146,13.564
2459710.371597,13.584
2459710.372083,13.603
2459710.372535,13.623
2459710.372986,13.626
2459710.373438,13.639
2459710.3739,13.629
2459710.374387,13.649
2459710.374838,13.639
2459710.375289,13.65
2459710.375741,13.664
2459710.376181,13.66
2459710.376678,13.675
2459710.377118,13.691
2459710.378032,13.709
2459710.378484,13.75
2459710.378981,13.737
2459710.379421,13.773
2459710.379873,13.761
2459710.380324,13.76
2459710.380787,13.79
2459710.381273,13.835
2459710.381713,13.801
2459710.382164,13.842
2459710.382627,13.851
2459710.383079,13.851
2459710.383576,13.833
2459710.384016,13.83
2459710.384468,13.866
2459710.384919,13.844
2459710.385359,13.874
2459710.386285,13.87
2459710.386736,13.871
2459710.387188,13.886
2459710.387662,13.878
2459710.388148,13.872
2459710.388588,13.846
2459710.389479,13.85
2459710.389931,13.804
2459710.390417,13.827
2459710.390856,13.774
2459710.391319,13.783
2459710.391759,13.819
2459710.392211,13.777
2459710.392685,13.751
2459710.393148,13.772
2459710.393588,13.738
2459710.394039,13.724
2459710.394491,13.7
2459710.394965,13.705
2459710.395417,13.704
2459710.395868,13.66
2459710.396308,13.671
2459710.396759,13.684
2459710.397245,13.699
2459710.397685,13.685
2459710.398137,13.686
2459710.398588,13.669
2459710.399039,13.687
2459710.399525,13.704
2459710.399977,13.712
2459710.400451,13.711
2459710.400914,13.729
2459710.401366,13.694
2459710.401852,13.731
2459710.402303,13.731
2459710.402755,13.761
2459710.403218,13.756
2459710.403657,13.716
2459710.404144,13.722
2459710.404583,13.741
2459710.405046,13.729
2459710.405498,13.725
2459710.405961,13.702
2459710.406458,13.74
2459710.40691,13.749
2459710.407361,13.747
2459710.407801,13.741
2459710.408252,13.723
2459710.408727,13.739
2459710.409178,13.75
2459710.409618,13.768
2459710.410069,13.758
2459710.410509,13.748
2459710.410984,13.755
2459710.411435,13.762
2459710.411875,13.747
2459710.412326,13.726
2459710.412766,13.721
2459710.413252,13.74
2459710.413704,13.721
2459710.414155,13.697
2459710.416956,13.703
2459710.417407,13.674
2459710.417882,13.672
2459710.418333,13.632
2459710.418785,13.616
2459710.419236,13.628
2459710.419676,13.595
2459710.420208,13.557
2459710.420648,13.536
2459710.4211,13.534
2459710.421539,13.539
2459710.421979,13.539
2459710.422454,13.533
2459710.422894,13.565
2459710.423345,13.565
2459710.423785,13.544
2459710.424225,13.552
2459710.424699,13.555
2459710.425162,13.554
2459710.425602,13.564
2459710.426053,13.584
2459710.426505,13.568
2459710.426979,13.593
2459710.427431,13.602
2459710.42787,13.614
2459710.428322,13.63
2459710.428762,13.627
2459710.429236,13.642
2459710.429676,13.654
